title,year,certificate,duration,gross,country,director,genre,ratings
Logan,2017,R,2h 17m,"$619,179,950 ",United States,James Mangold,Action,8
Spotlight,2015,R,2h 9m,"$98,690,254 ",United States,Tom McCarthy,Biography,8
The Terminator,1984,R,1h 47m,"$78,371,200 ",United Kingdom,James Cameron,Action,8
Stand by Me,1986,R,1h 29m,"$52,287,414 ",United States,Rob Reiner,Adventure,8
Rush,2013,R,2h 3m,"$96,983,009 ",United Kingdom,Ron Howard,Action,8
Network,1976,R,2h 1m,,United States,Sidney Lumet,Drama,8
Before Sunset,2004,R,1h 20m,"$15,849,759 ",United States,Richard Linklater,Drama,8
The Wizard of Oz,1939,G,1h 42m,"$25,637,669 ",United States,Victor Fleming,Adventure,8
Into the Wild,2007,R,2h 28m,"$56,675,895 ",United States,Sean Penn,Adventure,8
The Best Years of Our Lives,1946,Approved,2h 50m,,United States,William Wyler,Drama,8
The Exorcist,1973,R,2h 2m,"$441,306,145 ",United States,William Friedkin,Horror,8
Groundhog Day,1993,PG,1h 41m,"$71,108,591 ",United States,Harold Ramis,Comedy,8
The Incredibles,2004,PG,1h 55m,"$631,607,053 ",United States,Brad Bird,Animation,8
La haine,1995,Not Rated,1h 38m,,France,Mathieu Kassovitz,Crime,8
To Be or Not to Be,1942,Passed,1h 39m,,United States,Ernst Lubitsch,Comedy,8
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,"$654,264,015 ",United States,Gore Verbinski,Action,8
Hachi: A Dog's Tale,2009,G,1h 33m,,United Kingdom,Lasse Hallström,Biography,8
The Grapes of Wrath,1940,Passed,2h 9m,,United States,John Ford,Drama,8
The Battle of Algiers,1966,Not Rated,2h 1m,"$962,002 ",Italy,Gillo Pontecorvo,Drama,8
Pather Panchali,1955,Not Rated,2h 5m,,India,Satyajit Ray,Drama,8
Jai Bhim,2021,TV-MA,2h 44m,,India,T.J. Gnanavel,Crime,8
My Father and My Son,2005,Not Rated,1h 52m,,Turkey,Çagan Irmak,Drama,8
Amores Perros,2000,R,2h 34m,"$20,908,467 ",Mexico,Alejandro G. Iñárritu,Drama,8
Rebecca,1940,Approved,2h 10m,,United States,Alfred Hitchcock,Drama,8
The Handmaiden,2016,Not Rated,2h 25m,"$37,854,655 ",South Korea,Park Chan-wook,Drama,8
Cool Hand Luke,1967,GP,2h 7m,,United States,Stuart Rosenberg,Crime,8
The Sound of Music,1965,G,2h 52m,"$159,437,744 ",United States,Robert Wise,Biography,8
It Happened One Night,1934,Passed,1h 45m,,United States,Frank Capra,Comedy,8
The 400 Blows,1959,Not Rated,1h 39m,,France,François Truffaut,Crime,8
Persona,1966,Not Rated,1h 23m,,Sweden,Ingmar Bergman,Drama,8
Life of Brian,1979,R,1h 34m,"$20,745,728 ",United Kingdom,Terry Jones,Comedy,8
The Iron Giant,1999,PG,1h 26m,"$23,335,817 ",United States,Brad Bird,Animation,8
The Help,2011,PG-13,2h 26m,"$216,639,112 ",United States,Tate Taylor,Drama,8
Aladdin,1992,G,1h 30m,"$504,050,219 ",United States,Ron Clements,Animation,8
Dances with Wolves,1990,PG-13,3h 1m,"$424,208,848 ",United States,Kevin Costner,Adventure,8
